23000, 18.754, -1.619, 16.532, 0.83, 23.333, -1.024, 16.05, -0.098, 18.962, 0.489, 20.894, 1.789, 25.481, 1.513, 23.773, -0.437, 23.733, -3.017, 21.219, 0.096, 19.736, -0.606, 25.962, -0.936, 0.688, -0.959, -0.236, 0.161, -0.596, -0.065, 0.603, 0.203
23500, 21.855, -2.139, 16.123, -1.343, 22.762, -1.824, 14.504, -0.228, 19.891, -0.129, 19.47, 0.953, 24.751, 0.565, 22.212, -1.715, 25.057, -2.982, 20.973, -0.388, 21.155, -0.436, 26.025, -0.57, -0.043, -1.237, -0.294, -0.266, -0.312, 0.585, 0.307, -0.058
24000, 14.618, -3.057, 18.047, -0.589, 19.432, -1.836, 11.26, 0.218, 22.433, 0.458, 15.912, 0.365, 21.605, 0.978, 25.006, -1.651, 18.866, -2.507, 17.371, -0.501, 22.597, -0.706, 21.062, -1.118, 0.917, -1.148, -0.772, -0.049, -0.154, 0.444, 0.487, 0.426
24500, 10.242, -2.283, 17.342, -0.365, 12.107, 1.335, 7.123, 1.427, 24.571, 0.461, 11.886, 2.387, 13.559, 0.616, 26.299, -1.994, 13.84, -1.475, 12.583, 0.114, 23.291, -1.538, 13.237, 0.993, 0.127, -0.365, 0.03, -0.122, -0.023, -0.735, -0.54, -0.071
25000, 6.954, -3.188, 16.967, -0.936, 8.495, 6.058, 4.72, -0.83, 21.38, -0.943, 9.049, 7.864, 7.344, -0.475, 26.367, -3.036, 8.427, -2.744, 8.799, -1.761, 21.362, -3.092, 9.035, 2.828, -0.461, -1.616, -1.579, -1.523, -0.77, -0.772, -0.587, -0.664
25500, 3.193, -1.498, 18.353, -1.003, 4.389, 15.695, 3.036, 0.144, 24.082, -0.383, 7.336, 16.751, 5.116, -0.715, 26.879, -1.528, 5.156, -1.128, 4.837, -2.012, 21.969, -2.377, 6.933, 11.101, -0.319, -0.976, -1.688, 0.117, -0.347, -0.274, -0.337, 0.056
26000, 0.762, -1.307, 16.342, -2.821, 0.089, 21.979, 2.858, -0.194, 23.563, -0.861, 4.287, 23.967, 2.571, -1.392, 26.519, -1.848, 2.952, 3.48, 4.685, -1.752, 22.192, -2.603, 3.922, 19.561, -1.027, -1.862, -1.916, -0.653, -0.257, -0.828, -0.685, -0.29
26500, -0.258, -0.927, 16.604, -4.13, -1.609, 22.356, 0.601, -1.029, 22.46, -0.152, 0.732, 25.399, 0.499, -3.256, 24.675, -3.362, 0.21, 6.393, 1.606, -2.866, 20.679, -4.741, 2.166, 25.045, -0.682, -2.103, -1.604, -0.58, -1.229, -2.301, -1.774, -0.826
27000, 0.999, -1.226, 17.923, -2.837, -1.041, 24.43, 0.269, -0.531, 22.999, -1.191, 0.664, 27.616, 0.047, -2.418, 25.836, -2.825, -0.468, 12.513, 2.414, -2.627, 21.006, -3.665, 2.161, 26.818, 0.168, -1.99, -0.919, -0.947, -0.662, -1.492, -0.805, 0.456
27500, 0.573, -1.3, 19.022, -2.582, -0.877, 25.676, 0.894, -0.261, 23.651, -0.836, 0.507, 26.476, -0.742, -1.548, 24.9, -2.316, -1.249, 18.898, 1.916, -3.117, 21.923, -3.981, 1.067, 25.967, 0.968, -1.774, -0.811, -0.91, -0.747, -0.041, -0.958, 0.119
